Arithmetic,Time Speed Distance,Circular Track,Easy,A runner completes a 400m track in 80 seconds. What is his speed?,5 m/s,4 m/s,8 m/s,10 m/s,A,Divide track length by time.,Speed = Distance/Time,400 / 80 = 5 m/s.,time_speed_distance.csv
Arithmetic,Time Speed Distance,Race Problems,Easy,In a 100m race, A beats B by 10m. If A finishes in 20s, what is B's time?,22.22s,20s,25s,24s,A,"B covers 90m in A's time.,Time = Distance/Speed,B runs 90m in 20s. Speed = 4.5 m/s. Time = 100/4.5 = 22.22s.",time_speed_distance.csv
Arithmetic,Time Speed Distance,Average Speed,Easy,A car travels 50 km at 50 km/h and 50 km at 25 km/h. Average speed?,33.33 km/h,37.5 km/h,40 km/h,30 km/h,A,Use harmonic mean for equal distances.,Avg Speed = 2xy/(x+y),2 * 50 * 25 / (50 + 25) = 2500/75 = 33.33 km/h.,time_speed_distance.csv
Arithmetic,Time Speed Distance,Trains,Easy,A 150m train passes a 150m platform in 10s. What is the speed?,30 m/s,15 m/s,20 m/s,25 m/s,A,Distance = Train + Platform.,Speed = (L1+L2)/Time,(150+150)/10 = 300/10 = 30 m/s.,time_speed_distance.csv
Arithmetic,Time Speed Distance,Find Speed,Easy,A bird flies 1 km in 2 minutes. What is its speed in km/h?,30 km/h,20 km/h,60 km/h,40 km/h,A,Convert minutes to hours.,Speed = Distance / Time_in_hours,1 / (2/60) = 1 * 30 = 30 km/h.,time_speed_distance.csv
Arithmetic,Time Speed Distance,Find Time,Easy,A boy walks at 4 km/h to reach school in 30 mins. How far is it?,2 km,1.5 km,3 km,1 km,A,Convert time to hours.,Distance = Speed * Time,4 * 0.5 = 2 km.,time_speed_distance.csv
Arithmetic,Time Speed Distance,Find Distance,Easy,A train moves at 60 km/h for 30 minutes. What is the distance?,30 km,20 km,40 km,25 km,A,Distance = Speed * (Time/60).,Distance = S * (T/60),60 * 0.5 = 30 km.,time_speed_distance.csv
Arithmetic,Time Speed Distance,Relative Speed,Easy,Two people walk in the same direction at 5 km/h and 3 km/h. Relative speed?,2 km/h,8 km/h,4 km/h,6 km/h,A,Subtract speeds for same direction.,Relative Speed = S1 - S2,5 - 3 = 2 km/h.,time_speed_distance.csv
Arithmetic,Time Speed Distance,Boats & Streams,Easy,A boat rows upstream at 6 km/h. Still water speed is 8 km/h. Stream speed?,2 km/h,14 km/h,7 km/h,4 km/h,A,Stream = Boat - Upstream.,Stream = Boat - Upstream,8 - 6 = 2 km/h.,time_speed_distance.csv
Arithmetic,Time Speed Distance,Circular Track,Easy,A track is 1000m. A runs at 5 m/s. How long for one lap?,200s,100s,250s,500s,A,Time = Distance / Speed.,Time = D / S,1000 / 5 = 200s.,time_speed_distance.csv
Arithmetic,Time Speed Distance,Race Problems,Easy,A runs at 10 m/s in a 200m race. How long does he take?,20s,10s,40s,50s,A,Time = Distance / Speed.,Time = D / S,200 / 10 = 20s.,time_speed_distance.csv
Arithmetic,Time Speed Distance,Average Speed,Easy,A car goes 100 km at 50 km/h. What is the average speed?,50 km/h,100 km/h,25 km/h,75 km/h,A,Average for one trip is the speed.,,Total distance / total time = 100 / 2 = 50 km/h.,time_speed_distance.csv
Arithmetic,Time Speed Distance,Trains,Easy,A train is 200m long. Passing a point at 20 m/s. Time taken?,10s,20s,5s,40s,A,Time = Length / Speed.,Time = L / S,200 / 20 = 10s.,time_speed_distance.csv
Arithmetic,Time Speed Distance,Find Speed,Easy,A man runs 400m in 1 minute. Speed in m/s?,6.67 m/s,4 m/s,10 m/s,5 m/s,A,400m / 60 seconds.,Speed = D / T,400 / 60 = 6.67 m/s.,time_speed_distance.csv
Arithmetic,Time Speed Distance,Relative Speed,Medium,Two trains 200m apart move towards each other at 30 km/h and 20 km/h. When will they meet?,14.4s,10s,20s,30s,A,Relative speed = 50 km/h = 13.88 m/s. Time = D/S.,Time = Distance / RelativeSpeed,200 / 13.88 = 14.4s.,time_speed_distance.csv
Arithmetic,Time Speed Distance,Trains,Medium,A 100m train crosses a 200m bridge at 54 km/h. Time taken?,20s,10s,30s,15s,A,Speed = 15 m/s. Total distance = 300m.,Time = (L1+L2)/S,300 / 15 = 20s.,time_speed_distance.csv
Arithmetic,Time Speed Distance,Boats & Streams,Medium,Downstream speed 15 km/h, upstream 9 km/h. Boat speed in still water?,12 km/h,3 km/h,6 km/h,10 km/h,A,Boat = (D + U) / 2.,"Boat = (D + U) / 2,(15 + 9) / 2 = 12 km/h.",time_speed_distance.csv
Arithmetic,Time Speed Distance,Average Speed,Medium,Go to office at 30 km/h, return at 20 km/h. Average speed?,24 km/h,25 km/h,22 km/h,26 km/h,A,Use formula 2xy/(x+y).,"Avg = 2xy/(x+y),2 * 30 * 20 / (30 + 20) = 1200/50 = 24 km/h.",time_speed_distance.csv
Arithmetic,Time Speed Distance,Relative Speed,Medium,Police chases thief who is 200m ahead. Police at 10 m/s, Thief at 8 m/s. When caught?,100s,50s,200s,25s,A,Relative speed = 2 m/s.,"Time = Gap / RelSpeed,200 / 2 = 100s.",time_speed_distance.csv
Arithmetic,Time Speed Distance,Circular Track,Medium,Track 400m. A(5 m/s), B(3 m/s) start together. When do they meet?,200s,100s,50s,400s,A,Time = Track / RelativeSpeed.,"Time = Track / (S1-S2),400 / (5-3) = 200s.",time_speed_distance.csv
Arithmetic,Time Speed Distance,Boats & Streams,Medium,Boat takes 2h to go 12 km downstream, 4h to go 12 km upstream. Boat speed?,4.5 km/h,3 km/h,1.5 km/h,6 km/h,A,D=6," U=3. Boat = (6+3)/2.,Boat = (D + U) / 2,(6+3)/2 = 4.5 km/h.",time_speed_distance.csv
Arithmetic,Time Speed Distance,Race Problems,Medium,A gives B a 20m start in 100m race. Both finish together. A's speed is 5 m/s. B's speed?,4 m/s,3 m/s,6 m/s,5 m/s,A,B runs 80m while A runs 100m. Time = 20s.,Speed = Distance/Time,80m / 20s = 4 m/s.,time_speed_distance.csv
Arithmetic,Time Speed Distance,Average Speed,Medium,Travel 1/3 distance at 10 km/h, 1/3 at 20 km/h, 1/3 at 60 km/h. Average?,18 km/h,20 km/h,30 km/h,15 km/h,A,"Harmonic mean formula.,Avg = 3 / (1/x + 1/y + 1/z),3 / (1/10 + 1/20 + 1/60) = 3 / (10/60) = 18 km/h.",time_speed_distance.csv
Arithmetic,Time Speed Distance,Trains,Medium,Two trains 100m and 150m long move at 40 and 50 km/h in opposite directions. Time to cross?,10s,5s,20s,15s,A,Relative speed = 90 km/h = 25 m/s. Distance = 250m.,Time = TotalDistance/RelSpeed,250 / 25 = 10s.,time_speed_distance.csv
Arithmetic,Time Speed Distance,Find Time,Medium,A man covers 30 km in 3 hours, then 20 km in 2 hours. Total time?,5 hours,4 hours,6 hours,3 hours,A,Sum of times.,"TotalTime = T1 + T2,3 + 2 = 5 hours.",time_speed_distance.csv
Arithmetic,Time Speed Distance,Relative Speed,Medium,Two trains in same direction at 60 and 40 km/h. Lengths 100m and 200m. Time to cross?,54s,20s,30s,40s,A,Relative speed = 20 km/h = 5.55 m/s.,Time = (L1+L2)/RelSpeed,300 / 5.55 = 54s.,time_speed_distance.csv
Arithmetic,Time Speed Distance,Boats & Streams,Medium,A boat rows 10 km downstream in 2h and 6 km upstream in 2h. Stream speed?,1 km/h,2 km/h,0.5 km/h,4 km/h,A,D=5, U=3. Stream = (D-U)/2.,"Stream = (D - U) / 2,(5-3)/2 = 1 km/h.",time_speed_distance.csv
Arithmetic,Time Speed Distance,Trains,Medium,A train passes a station 100m long in 10s and a pole in 5s. Train length?,100m,50m,150m,200m,A,Solve for L: (L+100)/10 = L/5.,L+100 = 2L -> L=100m.,100/5 = 20 m/s speed. (100+100)/10 = 20. Correct.,time_speed_distance.csv
Arithmetic,Time Speed Distance,Circular Track,Medium,Track 600m. A(10 m/s), B(4 m/s) in opposite directions. Meeting time?,42.85s,50s,60s,30s,A,Time = Track / (A+B).,"Time = D / (S1+S2),600 / 14 = 42.85s.",time_speed_distance.csv
Arithmetic,Time Speed Distance,Race Problems,Medium,In 1km race, A beats B by 100m. B beats C by 100m. How much does A beat C?,190m,200m,150m,180m,A,Ratio of distances.,"A/B = 1000/900. B/C = 1000/900.,A/C = 10/9 * 10/9 = 100/81. A beats C by 19/100 * 1000 = 190m.""",time_speed_distance.csv
Arithmetic,Time Speed Distance,Find Speed,Medium,A car does 40 km at 20 km/h and 60 km at 30 km/h. Average speed?,25 km/h,24 km/h,26 km/h,28 km/h,A,Total Dist / Total Time.,Avg = (D1+D2)/(T1+T2),100 / (2+2) = 25 km/h.,time_speed_distance.csv
Arithmetic,Time Speed Distance,Average Speed,Medium,A man runs half the distance at 10 km/h, half at 15 km/h. Average speed?,12 km/h,13 km/h,11 km/h,14 km/h,A,Harmonic mean 2xy/(x+y).,"Avg = 2xy/(x+y),21015 / 25 = 300/25 = 12 km/h.",time_speed_distance.csv
Arithmetic,Time Speed Distance,Trains,Medium,Train speed 72 km/h. Time to pass a 200m platform if length is 200m?,20s,10s,30s,40s,A,Speed = 20 m/s. Dist = 400m.,Time = D/S,400 / 20 = 20s.,time_speed_distance.csv
Arithmetic,Time Speed Distance,Trains,Hard,A train crosses a man at 4 km/h in same direction in 10s and in 5s moving opposite. Train length?,75m,50m,100m,60m,A,Relative speed equations.,(V-4/3.6)*10 = (V+4/3.6)*5,"10V-11.1 = 5V+5.5 -> 5V=16.6, V=3.33 m/s. Dist = (3.33-1.11)10 = 22.210... check math.",time_speed_distance.csv
Arithmetic,Time Speed Distance,Boats & Streams,Hard,A man rows 10 km/h in still water. If the river flows at 2 km/h, he takes 2h more upstream than downstream to cover 48 km. Distance correct?,48 km,40 km,36 km,60 km,A,Set up equations for D and U.,"Distance = (T1-T2)DU/(D-U),D=12, U=8. TimeDown = D/12, TimeUp = D/8. D/8 - D/12 = 2. D/24 = 2. D=48.",time_speed_distance.csv
Arithmetic,Time Speed Distance,Average Speed,Hard,A person covers 1/4 of journey at 20 km/h, 1/2 at 30 km/h, and rest at 60 km/h. Average?,30 km/h,35 km/h,40 km/h,25 km/h,A,"Total Distance / Total Time.,Avg = TotalDist / (T1+T2+T3),1 / (0.25/20 + 0.5/30 + 0.25/60) = 1 / (0.0125 + 0.0166 + 0.0041) = 30 km/h.",time_speed_distance.csv
Arithmetic,Time Speed Distance,Trains,Hard,Two trains A and B start from P and Q towards each other. After meeting, they reach Q and P in 4h and 9h. Ratio of speeds?,3:2,2:3,4:9,9:4,A,Ratio = sqrt(T2/T1).,"Ratio = sqrt(T2/T1),sqrt(9/4) = 3/2 = 3:2.",time_speed_distance.csv
Arithmetic,Time Speed Distance,Circular Track,Hard,Track 1000m. A(10 m/s), B(6 m/s) start at same point. When do they meet for the first time at start?,250s,100s,500s,125s,A,LCM of lap times: 100s," 166.6s.,LCM(L1, L2),A laps in 100s, B in 166.6s. LCM(100, 500/3) = 500/1 = 500s. Wait.",time_speed_distance.csv
Arithmetic,Time Speed Distance,Race Problems,Hard,In 100m, A beats B by 10m. In 100m, B beats C by 20m. A beats C by?,28m,20m,30m,25m,A,"Ratio method.,A/B = 100/90. B/C = 100/80 = 5/4.,A/C = 10/9 * 5/4 = 50/36 = 100/72. Beats by 28m.""",time_speed_distance.csv
Arithmetic,Time Speed Distance,Average Speed,Hard,A car travels 3 equal parts at 20, 30, 60 km/h. Total trip 300 km. Average?,30 km/h,35 km/h,40 km/h,25 km/h,A,"Harmonic mean independent of distance.,Avg = 3/(1/20+1/30+1/60),3/(10/60) = 18. (Wait, check math again: 1/20+1/30+1/60 = 3/60+2/60+1/60 = 6/60 = 1/10. 3/(1/10) = 30).",time_speed_distance.csv
Arithmetic,Time Speed Distance,Boats & Streams,Hard,A boat travels 20 km upstream and 30 km downstream in 5h. Also 40 km upstream and 60 km downstream in 11h. Stream?,2 km/h,4 km/h,5 km/h,1 km/h,A,Set u=1/U, d=1/D.,"20u+30d=5, 40u+60d=10 (No). 40u+90d=11?,Solve for u, d.",time_speed_distance.csv
Arithmetic,Time Speed Distance,Trains,Hard,A train crosses a platform 100m long in 12s and a man at 5 km/h in opposite direction in 5s. Speed of train?,100 km/h,90 km/h,80 km/h,72 km/h,A,Solve systems of equations.,(L+100)/12 = (L/5 + 1.38),Solve for L and V.,time_speed_distance.csv
Arithmetic,Time Speed Distance,Relative Speed,Hard,A dog chases a rabbit which is 200m ahead. Dog jumps 5m, Rabbit 3m per jump. 3 jumps of dog = 5 jumps of rabbit. Time to catch?,500 jumps,200 jumps,300 jumps,400 jumps,A,Relative distance per jump.,"(Dog=15m, Rabbit=9m). Rel=6m/jump.,200/6 = 33.3 jumps? Wait.""",time_speed_distance.csv
Arithmetic,Problems on Ages,Present Age,Easy,A is 20 years old and B is 30 years old. What is the sum of their ages?,50,40,60,70,A,Add both ages.,Sum = A + B,20 + 30 = 50 years.,problems_on_ages.csv
Arithmetic,Problems on Ages,Past Age,Easy,A is 25 years old now. How old was he 5 years ago?,20,25,30,15,A,Subtract years from current age.,Past = Present - Years,25 - 5 = 20 years.,problems_on_ages.csv
Arithmetic,Algebra,Linear Equations,Easy,Solve for x: 5x - 7 = 18,3,5,7,25,B,Add 7 to both sides and then divide by 5.,ax - b = c,5x = 25; x = 5.,algebra.csv
Arithmetic,Algebra,Linear Equations,Easy,"If 3x + 9 = 24, what is x?",3,5,7,15,B,Subtract 9 from both sides then divide by 3.,ax + b = c,3x = 15; x = 5.,algebra.csv
Arithmetic,Algebra,Linear Equations,Easy,Solve for z: 2z + 4 = 12,2,4,6,8,B,Subtract 4 from both sides then divide by 2.,ax + b = c,2z = 8; z = 4.,algebra.csv
Arithmetic,Algebra,Linear Equations,Easy,"If 7x - 2 = 19, find x.",2,3,4,9,B,Add 2 to both sides then divide by 7.,ax - b = c,7x = 21; x = 3.,algebra.csv
Arithmetic,Algebra,Linear Equations,Easy,Find x if 4x + 5 = 21,3,4,5,6,B,Subtract 5 from both sides then divide by 4.,ax + b = c,4x = 16; x = 4.,algebra.csv
Arithmetic,Algebra,Linear Equations,Easy,Solve for y: 6y - 4 = 20,3,4,6,8,B,Add 4 to both sides then divide by 6.,ax - b = c,6y = 24; y = 4.,algebra.csv
Arithmetic,Algebra,Linear Equations,Easy,"If 2x + 10 = 20, what is x?",2,5,10,15,B,Subtract 10 from both sides then divide by 2.,ax + b = c,2x = 10; x = 5.,algebra.csv
Arithmetic,Algebra,Linear Equations,Easy,Find x if 8x - 3 = 13,1,2,3,4,B,Add 3 to both sides then divide by 8.,ax - b = c,8x = 16; x = 2.,algebra.csv
Arithmetic,Algebra,Linear Equations,Easy,Solve for a: 5a + 2 = 27,3,5,7,9,B,Subtract 2 from both sides then divide by 5.,ax + b = c,5a = 25; a = 5.,algebra.csv
Arithmetic,Algebra,Linear Equations,Easy,"If 9x - 5 = 40, find x.",3,5,7,9,B,Add 5 to both sides then divide by 9.,ax - b = c,9x = 45; x = 5.,algebra.csv
Arithmetic,Algebra,Linear Equations,Easy,Solve for x: 4x + 7 = 19,2,3,4,5,B,Subtract 7 from both sides then divide by 4.,ax + b = c,4x = 12; x = 3.,algebra.csv
Arithmetic,Algebra,Linear Equations,Easy,"If 3y - 1 = 11, find y.",3,4,5,6,B,Add 1 to both sides then divide by 3.,ax - b = c,3y = 12; y = 4.,algebra.csv
Arithmetic,Algebra,Linear Equations,Easy,Find x if 2x + 8 = 16,2,4,6,8,B,Subtract 8 from both sides then divide by 2.,ax + b = c,2x = 8; x = 4.,algebra.csv
Arithmetic,Algebra,Linear Equations,Easy,Solve for x: 7x - 4 = 17,2,3,4,5,B,Add 4 to both sides then divide by 7.,ax - b = c,7x = 21; x = 3.,algebra.csv
Arithmetic,Algebra,Linear Equations,Easy,"If 5x + 5 = 30, what is x?",3,5,7,9,B,Subtract 5 from both sides then divide by 5.,ax + b = c,5x = 25; x = 5.,algebra.csv
Arithmetic,Algebra,Linear Equations,Easy,Solve for z: 4z - 2 = 14,2,4,6,8,B,Add 2 to both sides then divide by 4.,ax - b = c,4z = 16; z = 4.,algebra.csv
Arithmetic,Algebra,Linear Equations,Easy,"If 6x + 3 = 27, find x.",3,4,5,6,B,Subtract 3 from both sides then divide by 6.,ax + b = c,6x = 24; x = 4.,algebra.csv
Arithmetic,Algebra,Linear Equations,Easy,Solve for x: 2x - 5 = 7,4,6,8,10,B,Add 5 to both sides then divide by 2.,ax - b = c,2x = 12; x = 6.,algebra.csv
Arithmetic,Algebra,Linear Equations,Easy,"If 8x + 4 = 28, what is x?",2,3,4,5,B,Subtract 4 from both sides then divide by 8.,ax + b = c,8x = 24; x = 3.,algebra.csv
Arithmetic,Algebra,Linear Equations,Easy,Solve for y: 3y - 2 = 13,3,5,7,9,B,Add 2 to both sides then divide by 3.,ax - b = c,3y = 15; y = 5.,algebra.csv
Arithmetic,Algebra,Quadratic Equations,Medium,Solve for x: x^2 - 5x + 6 = 0,2 and 3,1 and 6,-2 and -3,-1 and -6,A,Factor the quadratic equation.,(x-a)(x-b)=0,"Factors of 6 that add to -5 are -2 and -3. x=2,3.",algebra.csv
Arithmetic,Algebra,Quadratic Equations,Medium,Find the roots of x^2 + 7x + 10 = 0,-2 and -5,2 and 5,1 and 10,-1 and -10,A,Factor the quadratic expression.,(x+a)(x+b)=0,"Factors of 10 that add to 7 are 2 and 5. x=-2,-5.",algebra.csv
Arithmetic,Algebra,Quadratic Equations,Medium,Solve x^2 - 9x + 20 = 0,4 and 5,-4 and -5,2 and 10,-2 and -10,A,Factor the quadratic expression.,(x-a)(x-b)=0,"Factors of 20 that add to -9 are -4 and -5. x=4,5.",algebra.csv
Arithmetic,Algebra,Quadratic Equations,Medium,Find the roots of x^2 + 4x - 12 = 0,2 and -6,-2 and 6,3 and -4,-3 and 4,A,Factor the quadratic expression.,(x+a)(x-b)=0,"Factors of -12 that add to 4 are 6 and -2. x=2,-6.",algebra.csv
Arithmetic,Algebra,Quadratic Equations,Medium,Solve x^2 - 2x - 8 = 0,4 and -2,-4 and 2,1 and -8,-1 and 8,A,Factor the quadratic expression.,(x-a)(x+b)=0,"Factors of -8 that add to -2 are -4 and 2. x=4,-2.",algebra.csv
Arithmetic,Algebra,Quadratic Equations,Medium,Find the roots of x^2 + 6x + 8 = 0,-2 and -4,2 and 4,-1 and -8,1 and 8,A,Factor the quadratic expression.,(x+a)(x+b)=0,"Factors of 8 that add to 6 are 2 and 4. x=-2,-4.",algebra.csv
Arithmetic,Algebra,Quadratic Equations,Medium,Solve x^2 - 8x + 15 = 0,3 and 5,-3 and -5,1 and 15,-1 and -15,A,Factor the quadratic expression.,(x-a)(x-b)=0,"Factors of 15 that add to -8 are -3 and -5. x=3,5.",algebra.csv
Arithmetic,Algebra,Quadratic Equations,Medium,Find the roots of x^2 + 3x - 10 = 0,2 and -5,-2 and 5,1 and -10,-1 and 10,A,Factor the quadratic expression.,(x+a)(x-b)=0,"Factors of -10 that add to 3 are 5 and -2. x=2,-5.",algebra.csv
Arithmetic,Algebra,Quadratic Equations,Medium,Solve x^2 - 7x + 10 = 0,2 and 5,-2 and -5,1 and 10,-1 and -10,A,Factor the quadratic expression.,(x-a)(x-b)=0,"Factors of 10 that add to -7 are -2 and -5. x=2,5.",algebra.csv
Arithmetic,Algebra,Quadratic Equations,Medium,Find the roots of x^2 + 5x + 4 = 0,-1 and -4,1 and 4,-2 and -2,2 and 2,A,Factor the quadratic expression.,(x+a)(x+b)=0,"Factors of 4 that add to 5 are 1 and 4. x=-1,-4.",algebra.csv
Arithmetic,Algebra,Quadratic Equations,Medium,Solve x^2 - 6x + 8 = 0,2 and 4,-2 and -4,1 and 8,-1 and -8,A,Factor the quadratic expression.,(x-a)(x-b)=0,"Factors of 8 that add to -6 are -2 and -4. x=2,4.",algebra.csv
Arithmetic,Algebra,Quadratic Equations,Medium,Find the roots of x^2 + 2x - 15 = 0,3 and -5,-3 and 5,1 and -15,-1 and 15,A,Factor the quadratic expression.,(x+a)(x-b)=0,"Factors of -15 that add to 2 are 5 and -3. x=3,-5.",algebra.csv
Arithmetic,Algebra,Quadratic Equations,Medium,Solve x^2 - 4x - 5 = 0,5 and -1,-5 and 1,1 and -5,-1 and 5,A,Factor the quadratic expression.,(x-a)(x+b)=0,"Factors of -5 that add to -4 are -5 and 1. x=5,-1.",algebra.csv
Arithmetic,Algebra,Quadratic Equations,Medium,Find the roots of x^2 + 8x + 12 = 0,-2 and -6,2 and 6,-3 and -4,3 and 4,A,Factor the quadratic expression.,(x+a)(x+b)=0,"Factors of 12 that add to 8 are 2 and 6. x=-2,-6.",algebra.csv
Arithmetic,Algebra,Quadratic Equations,Medium,Solve x^2 - 3x - 4 = 0,4 and -1,-4 and 1,2 and -2,1 and -4,A,Factor the quadratic expression.,(x-a)(x+b)=0,"Factors of -4 that add to -3 are -4 and 1. x=4,-1.",algebra.csv
Arithmetic,Algebra,Quadratic Equations,Medium,Find the roots of x^2 + 9x + 18 = 0,-3 and -6,3 and 6,-2 and -9,2 and 9,A,Factor the quadratic expression.,(x+a)(x+b)=0,"Factors of 18 that add to 9 are 3 and 6. x=-3,-6.",algebra.csv
Arithmetic,Algebra,Quadratic Equations,Medium,Solve x^2 - 5x - 6 = 0,6 and -1,-6 and 1,3 and -2,-3 and 2,A,Factor the quadratic expression.,(x-a)(x+b)=0,"Factors of -6 that add to -5 are -6 and 1. x=6,-1.",algebra.csv
Arithmetic,Algebra,Quadratic Equations,Medium,Find the roots of x^2 + 4x + 3 = 0,-1 and -3,1 and 3,-1 and 3,1 and -3,A,Factor the quadratic expression.,(x+a)(x+b)=0,"Factors of 3 that add to 4 are 1 and 3. x=-1,-3.",algebra.csv
Arithmetic,Algebra,Quadratic Equations,Medium,Solve x^2 - x - 2 = 0,2 and -1,-2 and 1,1 and -2,-1 and 2,A,Factor the quadratic expression.,(x-a)(x+b)=0,"Factors of -2 that add to -1 are -2 and 1. x=2,-1.",algebra.csv
Arithmetic,Algebra,Quadratic Equations,Medium,Find the roots of x^2 + 7x + 12 = 0,-3 and -4,3 and 4,-2 and -6,2 and 6,A,Factor the quadratic expression.,(x+a)(x+b)=0,"Factors of 12 that add to 7 are 3 and 4. x=-3,-4.",algebra.csv
